,pid,model,align_condition,lr_sup,lr_unsup,lr,lam_a_cyc,lam_dist,hidden_size,alpha,temp,s,loss
87,_2hb2b6fas,cycle_and_distribution,misaligned,,,0.0079432823472428,1.7972284909531524,0.0031869789483166,100,0.368871542049195,0.5,30,51.60608976163715
88,_2hb2b6fas,euclidean,misaligned,,,0.0019952623149688,,,100,0.8687825230167495,0.5,30,52.668870663416826
89,_2hb2b6fas,discrete,misaligned,,,0.001,,,100,0.2786162923989533,1.1,30,53.45880782949432
90,_2kmjaq0jx,cycle_and_distribution,misaligned,,,0.1258925411794167,1.137203616083045,0.005885676498358,100,0.8420757510582816,0.5,30,48.64866806421792
91,_2kmjaq0jx,euclidean,misaligned,,,0.251188643150958,,,100,0.8197586416376466,0.9,30,51.38303231221334
92,_2kmjaq0jx,discrete,misaligned,,,0.0019952623149688,,,100,0.3648642777698272,1.4,30,53.34394745683905
93,_2kx2w5kk5,cycle_and_distribution,misaligned,,,0.0630957344480193,1.982462268453954,0.0047940438009915,100,0.8873449759961387,0.6000000000000001,30,43.67166995599777
94,_2kx2w5kk5,euclidean,misaligned,,,0.251188643150958,,,100,0.3721275850579515,0.3,30,51.2572268843664
95,_2kx2w5kk5,discrete,misaligned,,,0.0019952623149688,,,100,0.2823784265522104,1.2000000000000002,30,52.99764997414876
96,_2oijkxzoc,cycle_and_distribution,aligned,,,0.0630957344480193,1.4523203399301825,0.0012878384726147,100,0.7063371818925207,0.3,30,23.04148394355907
97,_2oijkxzoc,euclidean,aligned,,,0.1258925411794167,,,100,0.9303094812092544,0.2,30,27.8774098169696
98,_2oijkxzoc,discrete,aligned,,,0.0039810717055349,,,100,0.0455840502050877,1.1,30,52.63469657089322
99,_2rfo4463s,cycle_and_distribution,misaligned,,,0.0158489319246111,0.8329375107622102,0.008128786005803,100,0.9085236572102074,0.3,30,36.526083300036895
100,_2rfo4463s,euclidean,misaligned,,,0.1258925411794167,,,100,0.905804560169542,0.8,30,43.9160128303182
101,_2rfo4463s,discrete,misaligned,,,0.0079432823472428,,,100,0.0500099579488302,1.3,30,49.66193581271168
102,_2v0zuq4rn,cycle_and_distribution,aligned,,,0.0316227766016837,1.1488118405063663,0.0083858247984443,100,0.8812578959617345,0.3,30,18.67380640361974
103,_2v0zuq4rn,euclidean,aligned,,,0.1258925411794167,,,100,0.9054687030457436,0.4,30,33.283953071670595
104,_2v0zuq4rn,discrete,aligned,,,0.0039810717055349,,,100,0.3379663074006912,1.5,30,52.54231686741152
105,_2xjbms9q2,cycle_and_distribution,aligned,,,0.0158489319246111,0.6860841843185436,0.0088190168738466,100,0.8183820111181094,0.2,30,27.073062615696585
106,_2xjbms9q2,euclidean,aligned,,,0.0630957344480193,,,100,0.9080253516922924,0.3,30,29.491091787489328
107,_2xjbms9q2,discrete,aligned,,,0.0019952623149688,,,100,0.4983225022158134,1.3,30,53.24347741300691
108,_310alyysu,cycle_and_distribution,misaligned,,,0.1258925411794167,1.107695384433628,0.0013746480647559,100,0.6127727693935855,0.3,30,46.05813456836696
